source_group,comentarios_n,autores,videos,likes_medianos,sent_medio,pct_negativos,terminos
channel,231,192,11,1.0,-0.543,71.9,"pueblo, diputado, pagar, dinero, trabajo, sueldo"
topic,175,144,9,1.0,-0.162,47.4,"guatemala, presidente, proyecto, arévalo, gobierno, saludo"
