conversión,detalle,total
like_count_text → like_count,189 blancos imputados a 0,2325
view_count_text → verificación,227/280 coinciden exactamente con view_count; en las 53 discrepancias la diferencia mediana es de 4 vistas (máx. 3382),17706015
reply_count,ya numérica; sin nulos,51
