video_id,title,channel_id,channel_name,category,source_group,view_count,comentarios_obs,autores_unicos,likes,respuestas,tiene_comentarios
w57G_5jsqtU,Tráfico intenso por regreso a clases del sector público extiende horas pico en el área metropolitana,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,News & Politics,topic,625,0,0,0,0,False
wS6yC3yOAeA,Noticiero El Informativo. Nuestra semana de resultados.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,topic,1383,0,0,0,0,False
wVncmfsugww,"Spot Rendición de Cuentas, tercer cuatrimestre 2023 - 1",UCAutgrPkiLhZxTB-Ujje1fw,CIV -Ministerio de Comunicaciones,People & Blogs,official_gov,15,0,0,0,0,False
wYZPaJdVuhE,#LaCharla ¿Quién dirigirá el sistema portuario y qué decisiones debe tomar primero?,UCDaIW3kDab95q7iCSeVAnbQ,Guatevisión,News & Politics,topic,202,0,0,0,0,False
wm1f52Mvzag,Gloria Álvarez: ¿Podría ser la próxima presidenta de Guatemala?,UCN5tcDI7z6vN9s3p3n_JtoQ,Jorge Ramos,News & Politics,topic,31357,0,0,0,0,False
wpYwX-bGoz0,CIV prioriza proyectos con potencial para generar desarrollo en Guatemala,UCAutgrPkiLhZxTB-Ujje1fw,CIV -Ministerio de Comunicaciones,People & Blogs,official_gov,468,0,0,0,0,False
x9TPnjUeuoo,VIDEO INSTITUCIONAL PROVIAL,UCAutgrPkiLhZxTB-Ujje1fw,CIV -Ministerio de Comunicaciones,People & Blogs,official_gov,2250,0,0,0,0,False
xEcC_aMDhAk,MINGOB y COPADEH avanzan en la protección de personas defensoras de DDHH,UC8u2nvyHewt-mjdWSj0HJmQ,Ministerio de Gobernación,News & Politics,official_gov,17,0,0,0,0,False
xQgP0n8hVSI,"Primero te usan, y cuando ya no les sirves te desechan.",UC8u2nvyHewt-mjdWSj0HJmQ,Ministerio de Gobernación,News & Politics,official_gov,28,0,0,0,0,False
x_CB0ZRLQTA,Ricardo Quiñónez paga con nuestros impuestos netcenter,UCaFyLdpZa60tkGfjOsznHSg,AlcaldexAccidente,People & Blogs,topic,29419,0,0,0,0,False
y8XMbMxMF8E,"Gracias a la inteligencia, coordinación y firmeza, se dió un duro golpe al crimen organizado",UC8u2nvyHewt-mjdWSj0HJmQ,Ministerio de Gobernación,News & Politics,official_gov,84,0,0,0,0,False
yCmBtmOm6nw,“¿DÓNDE ESTÁN?”: GOBIERNO IMPULSA MECANISMO PARA BUSCAR A DESAPARECIDOS DEL CONFLICTO ARMADO,UCgItjn_ZWFWcv1MlpKIkqgQ,IDocumenta,News & Politics,topic,6,0,0,0,0,False
yLZS3JiEBg8,Arroz con pollo a la MONOPOLIO,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,channel,1954,16,16,13,0,True
zfJlUXRSaCU,Brief Political History of Guatemala,UCo1g4EQqLwMO9RqEv1rCUpQ,Crónica Panamericana,People & Blogs,topic,53547,0,0,0,0,False
zweosulrwA8,Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,Nonprofits & Activism,topic,52,1,1,0,0,True
zyA0BpEYcQU,Discusión entre conductor y jefe de la PMT,UC_Lj2naQPP8vmyDu-AEOo-w,Nuestro Mundo,People & Blogs,official_gov,55349,0,0,0,0,False
