autor_a,autor_b,videos_compartidos,nodo_a,nodo_b
@OttoPalencia-b7r,@robertoescobar5507,1,author::UC0HvfEWozTHbwl_iEmJNvVA,author::UCp29O_C7cchZV8IxV7Crdag
@OttoPalencia-b7r,@RolandoGonzalez-o7g,1,author::UC0HvfEWozTHbwl_iEmJNvVA,author::UCql1n3Ey6ULMSOACjMe-fxQ
@OttoPalencia-b7r,@carlosgranados9875,1,author::UC0HvfEWozTHbwl_iEmJNvVA,author::UCtCtts20bW6F9CSohau51Iw
@OttoPalencia-b7r,@AlejandroPérez-b6r,1,author::UC0HvfEWozTHbwl_iEmJNvVA,author::UCtsxPYw8VUsH_FfnKg-0lmw
@OttoPalencia-b7r,@cristianescobedo8296,1,author::UC0HvfEWozTHbwl_iEmJNvVA,author::UCvDwJBBY1mHK70aTEYl6rsA
@OttoPalencia-b7r,@vic-bonivideos,1,author::UC0HvfEWozTHbwl_iEmJNvVA,author::UCwxoKK59nGCeBqB2sXfDBIw
@OttoPalencia-b7r,@Murmullodelbarrio,1,author::UC0HvfEWozTHbwl_iEmJNvVA,author::UCyJhqmMbsvjpoarBBStA2kg
@OttoPalencia-b7r,@josegil3813,1,author::UC0HvfEWozTHbwl_iEmJNvVA,author::UCzZ6dDCEsLMXbc5pCFXIprw
@sabinamarinaguerra3248,@jhonymanuel9891,1,author::UC0RpuMwkDKJYqgKHtsJRuWQ,author::UC0aEyakBPqcBkVJiErfSupQ
@sabinamarinaguerra3248,@FreddyGmez,1,author::UC0RpuMwkDKJYqgKHtsJRuWQ,author::UC5PyGvSfFM--OVKmQ3COu6g
@sabinamarinaguerra3248,@isaidiaz2388,1,author::UC0RpuMwkDKJYqgKHtsJRuWQ,author::UC5fvhAfm89JH8eDFdvc0xYw
@sabinamarinaguerra3248,@arielsarc09,1,author::UC0RpuMwkDKJYqgKHtsJRuWQ,author::UCFOxCyF926Y9eHhMeVoWLzw
@sabinamarinaguerra3248,@samuelaguilar529,1,author::UC0RpuMwkDKJYqgKHtsJRuWQ,author::UCGqKxQS-z3NZzZF-2w338AA
@sabinamarinaguerra3248,@crislexrubi4387,1,author::UC0RpuMwkDKJYqgKHtsJRuWQ,author::UCHMQ_lDhibZ-XZ_3fo6oxwg
@sabinamarinaguerra3248,@jeanmorales1677,1,author::UC0RpuMwkDKJYqgKHtsJRuWQ,author::UCIUhbSCy3-SGRe5UtqM4fzQ
@sabinamarinaguerra3248,@JoseReyes-rn6sh,1,author::UC0RpuMwkDKJYqgKHtsJRuWQ,author::UCIp19h9igblA2YKfSLPDAug
@sabinamarinaguerra3248,@WalksandSuch,1,author::UC0RpuMwkDKJYqgKHtsJRuWQ,author::UCRcSR3Lvn9DZAmJpVPANfZQ
@sabinamarinaguerra3248,@jimmygomez724,1,author::UC0RpuMwkDKJYqgKHtsJRuWQ,author::UCRznz9-N3Qc1w-qNdLSIY2Q
@sabinamarinaguerra3248,@TheAlexX_C,1,author::UC0RpuMwkDKJYqgKHtsJRuWQ,author::UCSTAUWVc1_82DHYeqOsqEFA
@sabinamarinaguerra3248,@melvinperez6710,1,author::UC0RpuMwkDKJYqgKHtsJRuWQ,author::UCXmrpc6Li0spcKxtS0Q_ptg
@sabinamarinaguerra3248,@maynorcalel1442,1,author::UC0RpuMwkDKJYqgKHtsJRuWQ,author::UCY7Hq7F9Lnucf-Yr6JkHZNw
@sabinamarinaguerra3248,@ChRiStOpHeR7969,1,author::UC0RpuMwkDKJYqgKHtsJRuWQ,author::UC_ljZ1hZXR9pzexFz87P5ZA
@sabinamarinaguerra3248,@alexarcos8349,1,author::UC0RpuMwkDKJYqgKHtsJRuWQ,author::UCaT6M2zp7X6r6Whd8Vv3kHQ
@sabinamarinaguerra3248,@zetag,1,author::UC0RpuMwkDKJYqgKHtsJRuWQ,author::UCgLrWFdYitoP-b7-PxtUr-w
@sabinamarinaguerra3248,@perritojuega1,1,author::UC0RpuMwkDKJYqgKHtsJRuWQ,author::UCgLurCo-e019HGODcjXHWCw
@sabinamarinaguerra3248,@bryansicasales4280,1,author::UC0RpuMwkDKJYqgKHtsJRuWQ,author::UCi-vPdnpQreC7BkFs40mJGA
@sabinamarinaguerra3248,@rolandojuchuna484,1,author::UC0RpuMwkDKJYqgKHtsJRuWQ,author::UCqilIa8r7iek5sGYg_q6ofA
@sabinamarinaguerra3248,@alexandrevasquez4135,1,author::UC0RpuMwkDKJYqgKHtsJRuWQ,author::UCs_5qeqdku9tGAq22y3OcuQ
@sabinamarinaguerra3248,@mynorgudiel8646,1,author::UC0RpuMwkDKJYqgKHtsJRuWQ,author::UCtMBF_1O2jY2INlb_luuB_A
@sabinamarinaguerra3248,@kingr4706,1,author::UC0RpuMwkDKJYqgKHtsJRuWQ,author::UCwUAv3_LpWVtTIi7lkmTL7A
@sabinamarinaguerra3248,@elenaluarca9377,1,author::UC0RpuMwkDKJYqgKHtsJRuWQ,author::UCxKR3RA8T-kxMgq_2WWhRcQ
@sabinamarinaguerra3248,@carlosoliva9249,1,author::UC0RpuMwkDKJYqgKHtsJRuWQ,author::UCyzf29IYjNw67gGIfsjgtxA
@jhonymanuel9891,@FreddyGmez,1,author::UC0aEyakBPqcBkVJiErfSupQ,author::UC5PyGvSfFM--OVKmQ3COu6g
@jhonymanuel9891,@isaidiaz2388,1,author::UC0aEyakBPqcBkVJiErfSupQ,author::UC5fvhAfm89JH8eDFdvc0xYw
@jhonymanuel9891,@arielsarc09,1,author::UC0aEyakBPqcBkVJiErfSupQ,author::UCFOxCyF926Y9eHhMeVoWLzw
@jhonymanuel9891,@samuelaguilar529,1,author::UC0aEyakBPqcBkVJiErfSupQ,author::UCGqKxQS-z3NZzZF-2w338AA
@jhonymanuel9891,@crislexrubi4387,1,author::UC0aEyakBPqcBkVJiErfSupQ,author::UCHMQ_lDhibZ-XZ_3fo6oxwg
@jhonymanuel9891,@jeanmorales1677,1,author::UC0aEyakBPqcBkVJiErfSupQ,author::UCIUhbSCy3-SGRe5UtqM4fzQ
@jhonymanuel9891,@JoseReyes-rn6sh,1,author::UC0aEyakBPqcBkVJiErfSupQ,author::UCIp19h9igblA2YKfSLPDAug
@jhonymanuel9891,@WalksandSuch,1,author::UC0aEyakBPqcBkVJiErfSupQ,author::UCRcSR3Lvn9DZAmJpVPANfZQ
@jhonymanuel9891,@jimmygomez724,1,author::UC0aEyakBPqcBkVJiErfSupQ,author::UCRznz9-N3Qc1w-qNdLSIY2Q
@jhonymanuel9891,@TheAlexX_C,1,author::UC0aEyakBPqcBkVJiErfSupQ,author::UCSTAUWVc1_82DHYeqOsqEFA
@jhonymanuel9891,@melvinperez6710,1,author::UC0aEyakBPqcBkVJiErfSupQ,author::UCXmrpc6Li0spcKxtS0Q_ptg
@jhonymanuel9891,@maynorcalel1442,1,author::UC0aEyakBPqcBkVJiErfSupQ,author::UCY7Hq7F9Lnucf-Yr6JkHZNw
@jhonymanuel9891,@ChRiStOpHeR7969,1,author::UC0aEyakBPqcBkVJiErfSupQ,author::UC_ljZ1hZXR9pzexFz87P5ZA
@jhonymanuel9891,@alexarcos8349,1,author::UC0aEyakBPqcBkVJiErfSupQ,author::UCaT6M2zp7X6r6Whd8Vv3kHQ
@jhonymanuel9891,@zetag,1,author::UC0aEyakBPqcBkVJiErfSupQ,author::UCgLrWFdYitoP-b7-PxtUr-w
@jhonymanuel9891,@perritojuega1,1,author::UC0aEyakBPqcBkVJiErfSupQ,author::UCgLurCo-e019HGODcjXHWCw
@jhonymanuel9891,@bryansicasales4280,1,author::UC0aEyakBPqcBkVJiErfSupQ,author::UCi-vPdnpQreC7BkFs40mJGA
@jhonymanuel9891,@rolandojuchuna484,1,author::UC0aEyakBPqcBkVJiErfSupQ,author::UCqilIa8r7iek5sGYg_q6ofA
@jhonymanuel9891,@alexandrevasquez4135,1,author::UC0aEyakBPqcBkVJiErfSupQ,author::UCs_5qeqdku9tGAq22y3OcuQ
@jhonymanuel9891,@mynorgudiel8646,1,author::UC0aEyakBPqcBkVJiErfSupQ,author::UCtMBF_1O2jY2INlb_luuB_A
@jhonymanuel9891,@kingr4706,1,author::UC0aEyakBPqcBkVJiErfSupQ,author::UCwUAv3_LpWVtTIi7lkmTL7A
@jhonymanuel9891,@elenaluarca9377,1,author::UC0aEyakBPqcBkVJiErfSupQ,author::UCxKR3RA8T-kxMgq_2WWhRcQ
@jhonymanuel9891,@carlosoliva9249,1,author::UC0aEyakBPqcBkVJiErfSupQ,author::UCyzf29IYjNw67gGIfsjgtxA
@megavision4488,@BorisTebalán,1,author::UC14qlobYKqD-DO0j6b75lcA,author::UC1NiEdJ7gk6FlDexIalWnGg
@megavision4488,@carmenfigueroa1232,1,author::UC14qlobYKqD-DO0j6b75lcA,author::UC3YpzAr7pcdKC7BVFEpYzog
@megavision4488,@AbigailRodas-w2r,1,author::UC14qlobYKqD-DO0j6b75lcA,author::UC63tFvbQ_hJhGDi2nbjssjw
@megavision4488,@anibalg47,1,author::UC14qlobYKqD-DO0j6b75lcA,author::UCEHXl4VvvVpq-_4xC5tsbhg
@megavision4488,@vitalianochavez8382,1,author::UC14qlobYKqD-DO0j6b75lcA,author::UCFybmWapGvBKcQod7cPPH9w
@megavision4488,@BernerSoza-mg3vx,1,author::UC14qlobYKqD-DO0j6b75lcA,author::UCRfkkatKrNtAARnXMMYBGlA
@megavision4488,@albertoshernandez5251,1,author::UC14qlobYKqD-DO0j6b75lcA,author::UCV3fr-YOixFKCZBbJP1-X4w
@megavision4488,@hectormaaz5523,1,author::UC14qlobYKqD-DO0j6b75lcA,author::UCWaRixDdpgllTBf4V0jPnKQ
@megavision4488,@AntonioChiyal-x5s,1,author::UC14qlobYKqD-DO0j6b75lcA,author::UCWvntqPQx99k_Z_skWKqNSA
@megavision4488,@luisricardo9671,1,author::UC14qlobYKqD-DO0j6b75lcA,author::UCZFQwqh90apuL8eFhvRBkUg
@megavision4488,@elsasalguero6914,1,author::UC14qlobYKqD-DO0j6b75lcA,author::UCa36MjQLoPAmgJo-R3G8WQA
@megavision4488,@elmilenial4064,1,author::UC14qlobYKqD-DO0j6b75lcA,author::UCaT4saRcyqCLE657Rq2hhZQ
@megavision4488,@franciscojuarez9223,1,author::UC14qlobYKqD-DO0j6b75lcA,author::UCeQk-WfEA-cJRq4EKeE7TOw
@megavision4488,@lara11roberto,1,author::UC14qlobYKqD-DO0j6b75lcA,author::UCfo_yUPzy1f1POwwZxhZ06Q
@megavision4488,@pattyfigueroa5609,1,author::UC14qlobYKqD-DO0j6b75lcA,author::UCgGqw4aqMdMVSGkKiMgrJRQ
@megavision4488,@rosaoliva9389,1,author::UC14qlobYKqD-DO0j6b75lcA,author::UCheEJ5GZuIvV0fj-nXyVwXw
@megavision4488,@maydamorales4395,1,author::UC14qlobYKqD-DO0j6b75lcA,author::UChyps3dqY-VY1_wLeq-2lhw
@megavision4488,@mariogonzalezorellana8956,1,author::UC14qlobYKqD-DO0j6b75lcA,author::UCiOZX__1gahg1ypIj0_XG_w
@megavision4488,@franciscoflores3120,1,author::UC14qlobYKqD-DO0j6b75lcA,author::UCjZgFEowMBrsjodqfovzdKw
@megavision4488,@Israel-u5i7i,1,author::UC14qlobYKqD-DO0j6b75lcA,author::UCoGdCoJg2Lh0OX_jv6cG16g
@megavision4488,@robertoescobar5507,1,author::UC14qlobYKqD-DO0j6b75lcA,author::UCp29O_C7cchZV8IxV7Crdag
@megavision4488,@RolandoGonzalez-o7g,1,author::UC14qlobYKqD-DO0j6b75lcA,author::UCql1n3Ey6ULMSOACjMe-fxQ
@megavision4488,@carlosgranados9875,1,author::UC14qlobYKqD-DO0j6b75lcA,author::UCtCtts20bW6F9CSohau51Iw
@megavision4488,@AlejandroPérez-b6r,1,author::UC14qlobYKqD-DO0j6b75lcA,author::UCtsxPYw8VUsH_FfnKg-0lmw
@megavision4488,@cristianescobedo8296,1,author::UC14qlobYKqD-DO0j6b75lcA,author::UCvDwJBBY1mHK70aTEYl6rsA
@megavision4488,@vic-bonivideos,1,author::UC14qlobYKqD-DO0j6b75lcA,author::UCwxoKK59nGCeBqB2sXfDBIw
@megavision4488,@Murmullodelbarrio,1,author::UC14qlobYKqD-DO0j6b75lcA,author::UCyJhqmMbsvjpoarBBStA2kg
@megavision4488,@josegil3813,1,author::UC14qlobYKqD-DO0j6b75lcA,author::UCzZ6dDCEsLMXbc5pCFXIprw
@HectorCarranza-u4j4o,@RauldejesusOlivagonzalez,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UC32oozucwCF3q8d4m8fyOUg
@HectorCarranza-u4j4o,@rosaelenaargueta79,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UC3UVO7pTbeYvZ3ILEyRDskQ
@HectorCarranza-u4j4o,@davidlima1348,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UC4Avya4kmR4Q0FrfFdBozSQ
@HectorCarranza-u4j4o,@leonelsantizo5281,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UC5hvEnRUzI4Kfvwnyi4QxqQ
@HectorCarranza-u4j4o,@alfredoortega9264,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UC6Uj1FT5JjDSF8vudvDxPAA
@HectorCarranza-u4j4o,@lesolorzano,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UC7dadZG7kkGYnsNu6td0FbA
@HectorCarranza-u4j4o,@ingenieroar,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UC816IGbFCZinfYS1LRDaaHg
@HectorCarranza-u4j4o,@lisss1908,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UC95PSMouTx2N5CbSq0hIyrQ
@HectorCarranza-u4j4o,@melvinlopez7096,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UCAKuKvcbfnBD3kF5njNu-IA
@HectorCarranza-u4j4o,@lidiarodriguez3493,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UCCBYcToQ2dwkd6TJh0FSyDg
@HectorCarranza-u4j4o,@laboratorio5528,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UCDrmf9y9nLgFY5wnA2hTuGA
@HectorCarranza-u4j4o,@karensussetteleonvargas9794,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UCGGHbtfbbe0o68etrOf0qxw
@HectorCarranza-u4j4o,@caminoseternos752,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UCHbwIx9pmQuf7i-4_xO2EpA
@HectorCarranza-u4j4o,@eustaquiogomez9975,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UCNpt5CQlTzNjlAKY6CJtClQ
@HectorCarranza-u4j4o,@hendersonlopez3864,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UCOcUI5XkTYNMSFhZNMIPpGg
@HectorCarranza-u4j4o,@estuardoargueta137,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UCQqlPPUGqAfWjd-FSh_qn7Q
@HectorCarranza-u4j4o,@aguilar4254,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UCQyOePccUP-fIJYzchAgZYw
@HectorCarranza-u4j4o,@iamjimalesssa,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UCRAquv8el-tQ30bN7MlmySQ
@HectorCarranza-u4j4o,@ligiaguerra3057,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UCRvPToDkkumha7WJAfCDk1A
@HectorCarranza-u4j4o,@AnaDiaz-re9sq,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UCUoYsrx1oZnCZ0usbBJn4fA
@HectorCarranza-u4j4o,@genarodelgado3929,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UCV0lM03g5fg5pbPj97-sAtA
@HectorCarranza-u4j4o,@dinoraoroxon5771,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UCW-JC6lebVmf2P1dmY_L94g
@HectorCarranza-u4j4o,@rogeraldana4289,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UCW80DaMjQlEUibC98Cot-Dg
@HectorCarranza-u4j4o,@OmarMartinez-vv8re,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UCWoAVGVqCn4xtINCMOTM4jg
@HectorCarranza-u4j4o,@mariocordon8873,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UCZeIIQrGAedW8tCbKWmGY-A
@HectorCarranza-u4j4o,@javiercifuentesarchila6041,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UC_LYoGs5C3mbZKZuKuqYCvw
@HectorCarranza-u4j4o,@josecastillo4390,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UCaKAjTW9MVub_clgr4DRYjQ
@HectorCarranza-u4j4o,@MarcosCarillo-b1r,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UCdFlugHJJa4l3YqWuNRmvXw
@HectorCarranza-u4j4o,@FernandoGarcia-jg1fj,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UCe8JZoYkX5oKUZyivHYdXhw
@HectorCarranza-u4j4o,@EdgarcalderonCalderong,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UCeDNEtI8_a42bZ47wJiJMwQ
@HectorCarranza-u4j4o,@NataliaRodriguez-rx5mr,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UCgJNFj5dnxXpcMvmuhZDPxA
@HectorCarranza-u4j4o,@marlenareano-h4t,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UCgQw_Sbq3ugruDUKsq1e0-A
@HectorCarranza-u4j4o,@pedroros6358,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UCiC-Jn7wdgyQV4_Urk0DkWQ
@HectorCarranza-u4j4o,@HectorElias-u2l,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UCkVtmkK07b2zaVVNssX4lOg
@HectorCarranza-u4j4o,@gonzalo6075,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UCkbsS_3D-pvg1iHOld9uvIg
@HectorCarranza-u4j4o,@EcPerez-zz9oh,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UClhMWQ7XKWywYvbRnuf8QsA
@HectorCarranza-u4j4o,@AndresLemus-k2d,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UClqA491Xa5fQcXcJJa-vTWw
@HectorCarranza-u4j4o,@quijotachapina1,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UColMq7LmaoY3MT6aIDGrGvA
@HectorCarranza-u4j4o,@carloslam5333,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UCpe5jW3MIqkgTJ-PgkzvM6Q
@HectorCarranza-u4j4o,@inge_vergueta,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UCpsKOkt5iWTbenzeuq7dsmQ
@HectorCarranza-u4j4o,@Lyrics_GT,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UCqCrvuoJpC-aVb0f4logQRQ
@HectorCarranza-u4j4o,@sergiohinestroza9709,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UCsGoJEvb-cFPZ2rWoJcXzEQ
@HectorCarranza-u4j4o,@RolandoCastroPérez-d7y,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UCu8_3-Wg-YzNyvHYQDEscfw
@HectorCarranza-u4j4o,@jorgeaguilar-bq3uj,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UCuXmOjxC-htcprLgeVXz6Tg
@HectorCarranza-u4j4o,@armindapenados2841,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UCwgCc9Jd_gG-uLE_SY-FfPg
@HectorCarranza-u4j4o,@Silviazea,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UCwjUvRseNtJoItylIyIez7Q
@HectorCarranza-u4j4o,@Jel.Awesh.M,1,author::UC1DpqK6vaPEkBOMNvypsKYg,author::UCylqlpsh8ENNM1LqgQ1KbxA
@BorisTebalán,@carmenfigueroa1232,1,author::UC1NiEdJ7gk6FlDexIalWnGg,author::UC3YpzAr7pcdKC7BVFEpYzog
@BorisTebalán,@AbigailRodas-w2r,1,author::UC1NiEdJ7gk6FlDexIalWnGg,author::UC63tFvbQ_hJhGDi2nbjssjw
@BorisTebalán,@anibalg47,1,author::UC1NiEdJ7gk6FlDexIalWnGg,author::UCEHXl4VvvVpq-_4xC5tsbhg
@BorisTebalán,@vitalianochavez8382,1,author::UC1NiEdJ7gk6FlDexIalWnGg,author::UCFybmWapGvBKcQod7cPPH9w
@BorisTebalán,@BernerSoza-mg3vx,1,author::UC1NiEdJ7gk6FlDexIalWnGg,author::UCRfkkatKrNtAARnXMMYBGlA
@BorisTebalán,@albertoshernandez5251,1,author::UC1NiEdJ7gk6FlDexIalWnGg,author::UCV3fr-YOixFKCZBbJP1-X4w
@BorisTebalán,@hectormaaz5523,1,author::UC1NiEdJ7gk6FlDexIalWnGg,author::UCWaRixDdpgllTBf4V0jPnKQ
@BorisTebalán,@AntonioChiyal-x5s,1,author::UC1NiEdJ7gk6FlDexIalWnGg,author::UCWvntqPQx99k_Z_skWKqNSA
@BorisTebalán,@luisricardo9671,1,author::UC1NiEdJ7gk6FlDexIalWnGg,author::UCZFQwqh90apuL8eFhvRBkUg
@BorisTebalán,@elsasalguero6914,1,author::UC1NiEdJ7gk6FlDexIalWnGg,author::UCa36MjQLoPAmgJo-R3G8WQA
@BorisTebalán,@elmilenial4064,1,author::UC1NiEdJ7gk6FlDexIalWnGg,author::UCaT4saRcyqCLE657Rq2hhZQ
@BorisTebalán,@franciscojuarez9223,1,author::UC1NiEdJ7gk6FlDexIalWnGg,author::UCeQk-WfEA-cJRq4EKeE7TOw
@BorisTebalán,@lara11roberto,1,author::UC1NiEdJ7gk6FlDexIalWnGg,author::UCfo_yUPzy1f1POwwZxhZ06Q
@BorisTebalán,@pattyfigueroa5609,1,author::UC1NiEdJ7gk6FlDexIalWnGg,author::UCgGqw4aqMdMVSGkKiMgrJRQ
@BorisTebalán,@rosaoliva9389,1,author::UC1NiEdJ7gk6FlDexIalWnGg,author::UCheEJ5GZuIvV0fj-nXyVwXw
@BorisTebalán,@maydamorales4395,1,author::UC1NiEdJ7gk6FlDexIalWnGg,author::UChyps3dqY-VY1_wLeq-2lhw
@BorisTebalán,@mariogonzalezorellana8956,1,author::UC1NiEdJ7gk6FlDexIalWnGg,author::UCiOZX__1gahg1ypIj0_XG_w
@BorisTebalán,@franciscoflores3120,1,author::UC1NiEdJ7gk6FlDexIalWnGg,author::UCjZgFEowMBrsjodqfovzdKw
@BorisTebalán,@Israel-u5i7i,1,author::UC1NiEdJ7gk6FlDexIalWnGg,author::UCoGdCoJg2Lh0OX_jv6cG16g
@BorisTebalán,@robertoescobar5507,1,author::UC1NiEdJ7gk6FlDexIalWnGg,author::UCp29O_C7cchZV8IxV7Crdag
@BorisTebalán,@RolandoGonzalez-o7g,1,author::UC1NiEdJ7gk6FlDexIalWnGg,author::UCql1n3Ey6ULMSOACjMe-fxQ
@BorisTebalán,@carlosgranados9875,1,author::UC1NiEdJ7gk6FlDexIalWnGg,author::UCtCtts20bW6F9CSohau51Iw
@BorisTebalán,@AlejandroPérez-b6r,1,author::UC1NiEdJ7gk6FlDexIalWnGg,author::UCtsxPYw8VUsH_FfnKg-0lmw
@BorisTebalán,@cristianescobedo8296,1,author::UC1NiEdJ7gk6FlDexIalWnGg,author::UCvDwJBBY1mHK70aTEYl6rsA
@BorisTebalán,@vic-bonivideos,1,author::UC1NiEdJ7gk6FlDexIalWnGg,author::UCwxoKK59nGCeBqB2sXfDBIw
@BorisTebalán,@Murmullodelbarrio,1,author::UC1NiEdJ7gk6FlDexIalWnGg,author::UCyJhqmMbsvjpoarBBStA2kg
@BorisTebalán,@josegil3813,1,author::UC1NiEdJ7gk6FlDexIalWnGg,author::UCzZ6dDCEsLMXbc5pCFXIprw
@marthareiss5434,@rosadiaz6945,1,author::UC1WlJfQmaIskYhP4gmWoamw,author::UCBlm80VQ4YoV3bUJR_XhkaQ
@marthareiss5434,@pasionpornada,1,author::UC1WlJfQmaIskYhP4gmWoamw,author::UCGZMgmM92E3njyXNe9-kjAQ
@marthareiss5434,@susievidal4134,1,author::UC1WlJfQmaIskYhP4gmWoamw,author::UCIgoiXdIKJyUGmUoH2Lxdzg
@marthareiss5434,@luisroldan7374,1,author::UC1WlJfQmaIskYhP4gmWoamw,author::UCOLHH4ZpMxPYF-Q6e6wvn5A
@marthareiss5434,@BelkisRodriguezRamirez,1,author::UC1WlJfQmaIskYhP4gmWoamw,author::UCPNXmbOBVeC4HS-xemvcPtQ
@marthareiss5434,@Ripped-Yoda,1,author::UC1WlJfQmaIskYhP4gmWoamw,author::UCQMMuADgqWUOcJpLwHOzC-g
@marthareiss5434,@aurahernandez5646,1,author::UC1WlJfQmaIskYhP4gmWoamw,author::UCVdjCrh4tQoX3haNAZv-n5A
@marthareiss5434,@MariaNavarroYT,1,author::UC1WlJfQmaIskYhP4gmWoamw,author::UCZjm6U576nX8WOiLhmMR3bw
@marthareiss5434,@DoraSalas-j5o,1,author::UC1WlJfQmaIskYhP4gmWoamw,author::UCat2qkYvqmtDNEmo2PVuhXw
@marthareiss5434,@RosaMontesdeOca777,1,author::UC1WlJfQmaIskYhP4gmWoamw,author::UCbNanjFI51cwGqMAb2rOrBw
@marthareiss5434,@eugeneramirez4405,1,author::UC1WlJfQmaIskYhP4gmWoamw,author::UCi2KiZq63sRq8Mfbcp-MelQ
@marthareiss5434,@jesusguzman2321,1,author::UC1WlJfQmaIskYhP4gmWoamw,author::UCozFYHN0e_-vlQbX3wQGOug
@marthareiss5434,@MarioCortez-o6v,1,author::UC1WlJfQmaIskYhP4gmWoamw,author::UCp_dAUfv8i3LW3zWc24dLaQ
@marthareiss5434,@flornolberto2425,1,author::UC1WlJfQmaIskYhP4gmWoamw,author::UCrqXyRsg-_hTosURZ-uvoKg
@marthareiss5434,@Paul-gf7ec,1,author::UC1WlJfQmaIskYhP4gmWoamw,author::UCtiHFjFu7d5v2XxHnKFUYig
@marthareiss5434,@WilR-s8r,1,author::UC1WlJfQmaIskYhP4gmWoamw,author::UCxhtlxPV8AYWaNNyU6S9H8Q
@rosadiaz9235,@Burgos68,1,author::UC1Y7x3h0c95Z8kUhi-Tzaeg,author::UC7IMsCxfZyWN7YQo8-JYa6Q
@rosadiaz9235,@NormaLópez-v7e,1,author::UC1Y7x3h0c95Z8kUhi-Tzaeg,author::UC8xlJWNHz1V_W6q3fbuQH8g
@rosadiaz9235,@mariavail8998,1,author::UC1Y7x3h0c95Z8kUhi-Tzaeg,author::UCAV7QIjYhbDJaycQycM_0eQ
@rosadiaz9235,@ronaldgarcia8522,1,author::UC1Y7x3h0c95Z8kUhi-Tzaeg,author::UCGX_UbAQOXGZknv5iqklwTA
@rosadiaz9235,@virgiliogarcia3039,1,author::UC1Y7x3h0c95Z8kUhi-Tzaeg,author::UCHTGCgY2l-DQJIvlA_cpa_Q
@rosadiaz9235,@danielantoniogonzalezflore4901,1,author::UC1Y7x3h0c95Z8kUhi-Tzaeg,author::UCN2N_wYOw6fMwCeSzdXLPIw
@rosadiaz9235,@juandeleon9060,1,author::UC1Y7x3h0c95Z8kUhi-Tzaeg,author::UCNIeXbV_mEwpa412h1aqUWw
@rosadiaz9235,@kevinochoa3695,1,author::UC1Y7x3h0c95Z8kUhi-Tzaeg,author::UCPZueDLrCS4BmTBRMA4q0fA
@rosadiaz9235,@DennisseLopetegi,1,author::UC1Y7x3h0c95Z8kUhi-Tzaeg,author::UCVQf0tzL7xRzFJsABVVULpg
@rosadiaz9235,@Luis-gn3fj,1,author::UC1Y7x3h0c95Z8kUhi-Tzaeg,author::UCbYoNG5J3Au5BqtbXogfEFw
