node_id,tipo_nodo,bipartite,etiqueta,id_original,comentarios_publicados,videos_comentados,canales_comentados,likes,respuestas,sent_medio,channel_id,channel_name,category,source_group,view_count,comentarios_recibidos,autores_distintos,tiene_comentarios,observado
author::UC4kg7zuTfqQKLd2bkZrSYBA,autor,0,@zoilagarcia9019,UC4kg7zuTfqQKLd2bkZrSYBA,1,1.0,1.0,0.0,0.0,-0.774,,,,,,,,,True
author::UC4wq3DcbfaG6dtCqn8Oyu3w,autor,0,@hugoasencio7764,UC4wq3DcbfaG6dtCqn8Oyu3w,1,1.0,1.0,1.0,0.0,-0.807,,,,,,,,,True
author::UC5H8ASmMC9WrURmzeB4ySog,autor,0,@ManuelEdran,UC5H8ASmMC9WrURmzeB4ySog,5,1.0,1.0,6.0,0.0,-0.025,,,,,,,,,True
author::UC5PrBbmUlQolwqmiru7yZhw,autor,0,@lazarochavez8269,UC5PrBbmUlQolwqmiru7yZhw,1,1.0,1.0,0.0,1.0,-0.773,,,,,,,,,True
author::UC5PyGvSfFM--OVKmQ3COu6g,autor,0,@FreddyGmez,UC5PyGvSfFM--OVKmQ3COu6g,1,1.0,1.0,3.0,0.0,0.872,,,,,,,,,True
author::UC5bG9nc_JV3FsNP2KseQiYw,autor,0,@giovannirodas4836,UC5bG9nc_JV3FsNP2KseQiYw,1,1.0,1.0,2.0,0.0,-0.964,,,,,,,,,True
author::UC5fvhAfm89JH8eDFdvc0xYw,autor,0,@isaidiaz2388,UC5fvhAfm89JH8eDFdvc0xYw,1,1.0,1.0,0.0,0.0,0.471,,,,,,,,,True
author::UC5hvEnRUzI4Kfvwnyi4QxqQ,autor,0,@leonelsantizo5281,UC5hvEnRUzI4Kfvwnyi4QxqQ,1,1.0,1.0,2.0,0.0,0.727,,,,,,,,,True
author::UC5wuDq3U3vRAhOQI3D7gNdw,autor,0,@allanreneramirezgonzalez534,UC5wuDq3U3vRAhOQI3D7gNdw,1,1.0,1.0,2.0,1.0,0.817,,,,,,,,,True
author::UC63tFvbQ_hJhGDi2nbjssjw,autor,0,@AbigailRodas-w2r,UC63tFvbQ_hJhGDi2nbjssjw,1,1.0,1.0,2.0,0.0,-0.902,,,,,,,,,True
author::UC650pRT-OYzny3GwOH8Cgfw,autor,0,@edvinparedesherrera7632,UC650pRT-OYzny3GwOH8Cgfw,1,1.0,1.0,1.0,0.0,-0.984,,,,,,,,,True
author::UC6PvO1_k5lHKGdAPo5_C6TA,autor,0,@johnmejia992,UC6PvO1_k5lHKGdAPo5_C6TA,1,1.0,1.0,1.0,0.0,-0.936,,,,,,,,,True
author::UC6Uj1FT5JjDSF8vudvDxPAA,autor,0,@alfredoortega9264,UC6Uj1FT5JjDSF8vudvDxPAA,1,1.0,1.0,1.0,0.0,0.638,,,,,,,,,True
author::UC6YSZqL0vEcI-niPKIMUGfw,autor,0,@maxwellsales885,UC6YSZqL0vEcI-niPKIMUGfw,1,1.0,1.0,2.0,0.0,-0.982,,,,,,,,,True
author::UC6xI_MOaxajIWpoP8BH6E_Q,autor,0,@jahirdiaz5862,UC6xI_MOaxajIWpoP8BH6E_Q,1,1.0,1.0,0.0,0.0,0.718,,,,,,,,,True
author::UC72gBAtyb_VXQlYDcFrh6oQ,autor,0,@osmanmorales3012,UC72gBAtyb_VXQlYDcFrh6oQ,3,1.0,1.0,19.0,0.0,-0.751,,,,,,,,,True
author::UC7IMsCxfZyWN7YQo8-JYa6Q,autor,0,@Burgos68,UC7IMsCxfZyWN7YQo8-JYa6Q,2,1.0,1.0,1.0,0.0,-0.004,,,,,,,,,True
author::UC7VUuJr9cGh845CmTvf7TlQ,autor,0,@LuisCastillo-oz4df,UC7VUuJr9cGh845CmTvf7TlQ,1,1.0,1.0,1.0,0.0,-0.96,,,,,,,,,True
author::UC7dadZG7kkGYnsNu6td0FbA,autor,0,@lesolorzano,UC7dadZG7kkGYnsNu6td0FbA,1,1.0,1.0,18.0,0.0,-0.732,,,,,,,,,True
author::UC816IGbFCZinfYS1LRDaaHg,autor,0,@ingenieroar,UC816IGbFCZinfYS1LRDaaHg,1,1.0,1.0,1.0,0.0,-0.015,,,,,,,,,True
author::UC8F2V63KZ4ZEay6opX2hAQw,autor,0,@carmenr6311,UC8F2V63KZ4ZEay6opX2hAQw,1,1.0,1.0,0.0,0.0,-0.972,,,,,,,,,True
author::UC8G5cJONY8L9voMyBW8Eoug,autor,0,@luisparedes-pw6qt,UC8G5cJONY8L9voMyBW8Eoug,1,1.0,1.0,0.0,0.0,-0.941,,,,,,,,,True
author::UC8r11yOugM2NuRfitQOxLLg,autor,0,@cesaraugustomoralesmonroy6907,UC8r11yOugM2NuRfitQOxLLg,1,1.0,1.0,1.0,0.0,-0.976,,,,,,,,,True
author::UC8xlJWNHz1V_W6q3fbuQH8g,autor,0,@NormaLópez-v7e,UC8xlJWNHz1V_W6q3fbuQH8g,1,1.0,1.0,1.0,0.0,0.864,,,,,,,,,True
author::UC95PSMouTx2N5CbSq0hIyrQ,autor,0,@lisss1908,UC95PSMouTx2N5CbSq0hIyrQ,1,1.0,1.0,0.0,0.0,-0.214,,,,,,,,,True
author::UC9Wp6vL5oCU37qC3Aj94WZA,autor,0,@ManuelSanchez-b8q2z,UC9Wp6vL5oCU37qC3Aj94WZA,1,1.0,1.0,0.0,0.0,-0.949,,,,,,,,,True
author::UC9vMq1YF-e7C-VO0SHkbUTA,autor,0,@ErvinLeonardoCarreraLatín,UC9vMq1YF-e7C-VO0SHkbUTA,4,1.0,1.0,0.0,0.0,-0.85,,,,,,,,,True
author::UC9xr9QvIcDvoZNUX5f-jaZw,autor,0,@MariaaliciaColonmorales,UC9xr9QvIcDvoZNUX5f-jaZw,1,1.0,1.0,0.0,0.0,-0.556,,,,,,,,,True
author::UCA93ym2TXs_Ibyxb4Vcn-6Q,autor,0,@oswaldosolis8728,UCA93ym2TXs_Ibyxb4Vcn-6Q,1,1.0,1.0,0.0,0.0,-0.939,,,,,,,,,True
author::UCAKuKvcbfnBD3kF5njNu-IA,autor,0,@melvinlopez7096,UCAKuKvcbfnBD3kF5njNu-IA,1,1.0,1.0,0.0,0.0,0.899,,,,,,,,,True
author::UCAV7QIjYhbDJaycQycM_0eQ,autor,0,@mariavail8998,UCAV7QIjYhbDJaycQycM_0eQ,1,1.0,1.0,3.0,0.0,-0.348,,,,,,,,,True
author::UCAlzM_N6xBlMYmM8EBzX86Q,autor,0,@carlossoto3252,UCAlzM_N6xBlMYmM8EBzX86Q,1,1.0,1.0,3.0,0.0,-0.928,,,,,,,,,True
author::UCAmtbUiIrUIhikru0ZoTFig,autor,0,@Aura-vf6dm,UCAmtbUiIrUIhikru0ZoTFig,1,1.0,1.0,7.0,0.0,-0.874,,,,,,,,,True
author::UCAxvOOHQk7dYPOajzFEVtbA,autor,0,@ruddydepaz322,UCAxvOOHQk7dYPOajzFEVtbA,2,1.0,1.0,0.0,0.0,-0.116,,,,,,,,,True
author::UCB5p8a5gklc80jJItP6xTHg,autor,0,@ernestogamboa8737,UCB5p8a5gklc80jJItP6xTHg,1,1.0,1.0,6.0,0.0,-0.75,,,,,,,,,True
author::UCBlm80VQ4YoV3bUJR_XhkaQ,autor,0,@rosadiaz6945,UCBlm80VQ4YoV3bUJR_XhkaQ,2,1.0,1.0,0.0,3.0,-0.343,,,,,,,,,True
author::UCBtB5dIyx-C16UN8ClUD2UA,autor,0,@alexmonzon4257,UCBtB5dIyx-C16UN8ClUD2UA,1,1.0,1.0,0.0,0.0,-0.552,,,,,,,,,True
author::UCCBYcToQ2dwkd6TJh0FSyDg,autor,0,@lidiarodriguez3493,UCCBYcToQ2dwkd6TJh0FSyDg,1,1.0,1.0,0.0,0.0,-0.378,,,,,,,,,True
author::UCCUmP4PlbwgikVFpYwbtRTg,autor,0,@alhvi,UCCUmP4PlbwgikVFpYwbtRTg,1,1.0,1.0,3.0,0.0,0.92,,,,,,,,,True
author::UCCaYwkkbQGcvFoUmothVdQQ,autor,0,@OsvaldoAguirre-l3i,UCCaYwkkbQGcvFoUmothVdQQ,1,1.0,1.0,0.0,0.0,-0.942,,,,,,,,,True
author::UCDIMztpVm7G27qBuiWuT6oQ,autor,0,@lizardomorataya8274,UCDIMztpVm7G27qBuiWuT6oQ,1,1.0,1.0,0.0,0.0,-0.453,,,,,,,,,True
author::UCDPWkUX3sNNaCx-m1dV4glA,autor,0,@hectoroliva949,UCDPWkUX3sNNaCx-m1dV4glA,1,1.0,1.0,0.0,0.0,-0.891,,,,,,,,,True
author::UCDQaQv0hr2SS_PO-CMEwVHg,autor,0,@federicosaquimux1933,UCDQaQv0hr2SS_PO-CMEwVHg,1,1.0,1.0,1.0,0.0,-0.627,,,,,,,,,True
author::UCDUffaruH6dyUnUGwsTKpgg,autor,0,@luisletona2842,UCDUffaruH6dyUnUGwsTKpgg,1,1.0,1.0,2.0,0.0,-0.802,,,,,,,,,True
author::UCDftMWXQoJ6nONfY7GVOVjg,autor,0,@luisgpacheco5858,UCDftMWXQoJ6nONfY7GVOVjg,1,1.0,1.0,0.0,0.0,-0.968,,,,,,,,,True
author::UCDlr1VadSucIZgZ171pRBjQ,autor,0,@cuabatzjj5924,UCDlr1VadSucIZgZ171pRBjQ,1,1.0,1.0,0.0,0.0,0.022,,,,,,,,,True
author::UCDrmf9y9nLgFY5wnA2hTuGA,autor,0,@laboratorio5528,UCDrmf9y9nLgFY5wnA2hTuGA,1,1.0,1.0,1.0,0.0,0.368,,,,,,,,,True
author::UCEHXl4VvvVpq-_4xC5tsbhg,autor,0,@anibalg47,UCEHXl4VvvVpq-_4xC5tsbhg,1,1.0,1.0,7.0,0.0,0.744,,,,,,,,,True
author::UCEgEQmRbtL5fwr9_DqAC--g,autor,0,@ArielRodas-g5y,UCEgEQmRbtL5fwr9_DqAC--g,1,1.0,1.0,2.0,0.0,-0.046,,,,,,,,,True
author::UCErZPJpHmLCsXs8ZWkAUupQ,autor,0,@dorisl.garciaroche7763,UCErZPJpHmLCsXs8ZWkAUupQ,1,1.0,1.0,2.0,1.0,-0.647,,,,,,,,,True
author::UCFFrEmn6lPYiWyElpfzTy5Q,autor,0,@denilsonlopez4083,UCFFrEmn6lPYiWyElpfzTy5Q,1,1.0,1.0,0.0,0.0,-0.86,,,,,,,,,True
author::UCFOxCyF926Y9eHhMeVoWLzw,autor,0,@arielsarc09,UCFOxCyF926Y9eHhMeVoWLzw,1,1.0,1.0,3.0,0.0,0.926,,,,,,,,,True
author::UCFUuDARXdmmIrLppEqf-rFg,autor,0,@allanmunoz7410,UCFUuDARXdmmIrLppEqf-rFg,1,1.0,1.0,0.0,0.0,-0.262,,,,,,,,,True
author::UCFhxtoeARHPnXXPcDrOU3Xg,autor,0,@diegoalejandrolopezmendez205,UCFhxtoeARHPnXXPcDrOU3Xg,1,1.0,1.0,2.0,0.0,0.541,,,,,,,,,True
author::UCFjudnPLoaSL1BaRuLahyHg,autor,0,@HaroldoCastillo-rh9iw,UCFjudnPLoaSL1BaRuLahyHg,3,1.0,1.0,3.0,0.0,-0.299,,,,,,,,,True
author::UCFoIAE8k82D6AV-8gjjKaNg,autor,0,@eddymunoz9789,UCFoIAE8k82D6AV-8gjjKaNg,1,1.0,1.0,1.0,1.0,-0.889,,,,,,,,,True
author::UCFxE8GbokBrBsPEKM1xrOjQ,autor,0,@JuanDavila-qd7qj,UCFxE8GbokBrBsPEKM1xrOjQ,1,1.0,1.0,10.0,0.0,-0.97,,,,,,,,,True
author::UCFybmWapGvBKcQod7cPPH9w,autor,0,@vitalianochavez8382,UCFybmWapGvBKcQod7cPPH9w,1,1.0,1.0,1.0,0.0,0.875,,,,,,,,,True
author::UCGGHbtfbbe0o68etrOf0qxw,autor,0,@karensussetteleonvargas9794,UCGGHbtfbbe0o68etrOf0qxw,1,1.0,1.0,0.0,0.0,0.937,,,,,,,,,True
author::UCGX_UbAQOXGZknv5iqklwTA,autor,0,@ronaldgarcia8522,UCGX_UbAQOXGZknv5iqklwTA,1,1.0,1.0,1.0,0.0,-0.013,,,,,,,,,True
author::UCGZMgmM92E3njyXNe9-kjAQ,autor,0,@pasionpornada,UCGZMgmM92E3njyXNe9-kjAQ,1,1.0,1.0,2.0,1.0,-0.031,,,,,,,,,True
author::UCGj2v6Gl5bN8NSrzJMXS-CA,autor,0,@juliogutierrez492,UCGj2v6Gl5bN8NSrzJMXS-CA,1,1.0,1.0,0.0,0.0,-0.973,,,,,,,,,True
author::UCGm3gRBEHGRJYmtCryZLtDw,autor,0,@JoséLopez-g6k,UCGm3gRBEHGRJYmtCryZLtDw,1,1.0,1.0,0.0,0.0,-0.819,,,,,,,,,True
author::UCGqKxQS-z3NZzZF-2w338AA,autor,0,@samuelaguilar529,UCGqKxQS-z3NZzZF-2w338AA,1,1.0,1.0,211.0,3.0,0.901,,,,,,,,,True
author::UCGzXwyCzMzGmjmCbH3Hg01Q,autor,0,@FidelZacarias-ph7dy,UCGzXwyCzMzGmjmCbH3Hg01Q,1,1.0,1.0,2.0,0.0,-0.939,,,,,,,,,True
author::UCHGd14aYuZZShLD73dkk6mg,autor,0,@noemiherrera3152,UCHGd14aYuZZShLD73dkk6mg,1,1.0,1.0,0.0,0.0,0.715,,,,,,,,,True
author::UCHMQ_lDhibZ-XZ_3fo6oxwg,autor,0,@crislexrubi4387,UCHMQ_lDhibZ-XZ_3fo6oxwg,1,1.0,1.0,16.0,0.0,0.955,,,,,,,,,True
author::UCHTGCgY2l-DQJIvlA_cpa_Q,autor,0,@virgiliogarcia3039,UCHTGCgY2l-DQJIvlA_cpa_Q,3,2.0,2.0,14.0,0.0,-0.857,,,,,,,,,True
author::UCHbwIx9pmQuf7i-4_xO2EpA,autor,0,@caminoseternos752,UCHbwIx9pmQuf7i-4_xO2EpA,1,1.0,1.0,0.0,0.0,0.318,,,,,,,,,True
author::UCHhHUjaMAZ8SiXdCUCj9DkQ,autor,0,@fredymendez1786,UCHhHUjaMAZ8SiXdCUCj9DkQ,2,1.0,1.0,3.0,0.0,-0.775,,,,,,,,,True
author::UCHu8x4MVkayU6VgwVKd--MQ,autor,0,@Hernandez-i1o,UCHu8x4MVkayU6VgwVKd--MQ,1,1.0,1.0,1.0,0.0,-0.968,,,,,,,,,True
author::UCIUhbSCy3-SGRe5UtqM4fzQ,autor,0,@jeanmorales1677,UCIUhbSCy3-SGRe5UtqM4fzQ,1,1.0,1.0,1.0,0.0,-0.931,,,,,,,,,True
author::UCIXLDYqR_syskKRJy_x9W9Q,autor,0,@carlitosramirez4739,UCIXLDYqR_syskKRJy_x9W9Q,1,1.0,1.0,0.0,0.0,-0.194,,,,,,,,,True
author::UCIgoiXdIKJyUGmUoH2Lxdzg,autor,0,@susievidal4134,UCIgoiXdIKJyUGmUoH2Lxdzg,1,1.0,1.0,3.0,0.0,-0.867,,,,,,,,,True
author::UCIp19h9igblA2YKfSLPDAug,autor,0,@JoseReyes-rn6sh,UCIp19h9igblA2YKfSLPDAug,1,1.0,1.0,14.0,1.0,0.561,,,,,,,,,True
author::UCJp3OrVYcBorC94sKwdch_A,autor,0,@ULJoshmg2011,UCJp3OrVYcBorC94sKwdch_A,1,1.0,1.0,0.0,0.0,-0.965,,,,,,,,,True
author::UCJxJC56BSAX-ArD0NAb9qnQ,autor,0,@alfonsowilian9157,UCJxJC56BSAX-ArD0NAb9qnQ,1,1.0,1.0,0.0,0.0,-0.084,,,,,,,,,True
author::UCKDR0f2fu2UzWL8mBv5-BHw,autor,0,@mireyamorales6595,UCKDR0f2fu2UzWL8mBv5-BHw,1,1.0,1.0,0.0,0.0,-0.934,,,,,,,,,True
author::UCKVzDUqbtdSMBcexaEtMmzQ,autor,0,@rotorairgroup8409,UCKVzDUqbtdSMBcexaEtMmzQ,1,1.0,1.0,0.0,0.0,-0.971,,,,,,,,,True
author::UCL13XhnRzbGokEkCkEOb0-g,autor,0,@raquelprado3643,UCL13XhnRzbGokEkCkEOb0-g,2,1.0,1.0,8.0,0.0,-0.907,,,,,,,,,True
author::UCL1MT278vSaQ83ZDkVWn1gw,autor,0,@elmorodriguez6978,UCL1MT278vSaQ83ZDkVWn1gw,1,1.0,1.0,20.0,0.0,-0.915,,,,,,,,,True
author::UCLFdHr9BEbXHkoJopbEPLZw,autor,0,@kanterra4584,UCLFdHr9BEbXHkoJopbEPLZw,2,1.0,1.0,24.0,0.0,-0.795,,,,,,,,,True
author::UCLXYp1Cvc5DLtq5UQL5D9vw,autor,0,@jorgecifuentes-m5g,UCLXYp1Cvc5DLtq5UQL5D9vw,1,1.0,1.0,3.0,1.0,-0.063,,,,,,,,,True
author::UCLggDc_a5HriXv7I1h02sOA,autor,0,@guillermogonzalez5153,UCLggDc_a5HriXv7I1h02sOA,2,1.0,1.0,7.0,0.0,-0.398,,,,,,,,,True
author::UCLh1Kde4_vI1sTZBkTNP7RQ,autor,0,@JoelReynoso-d4r,UCLh1Kde4_vI1sTZBkTNP7RQ,1,1.0,1.0,0.0,0.0,-0.015,,,,,,,,,True
author::UCN2N_wYOw6fMwCeSzdXLPIw,autor,0,@danielantoniogonzalezflore4901,UCN2N_wYOw6fMwCeSzdXLPIw,1,1.0,1.0,0.0,0.0,-0.965,,,,,,,,,True
author::UCN6qbfPSzFtjhqUDZ3Cv3CQ,autor,0,@carlosmedranovelasquez6380,UCN6qbfPSzFtjhqUDZ3Cv3CQ,1,1.0,1.0,2.0,0.0,-0.905,,,,,,,,,True
author::UCNBnKqWf4d-rS4HwJRQljmQ,autor,0,@LE_A22,UCNBnKqWf4d-rS4HwJRQljmQ,2,1.0,1.0,1.0,0.0,-0.934,,,,,,,,,True
author::UCNIeXbV_mEwpa412h1aqUWw,autor,0,@juandeleon9060,UCNIeXbV_mEwpa412h1aqUWw,3,1.0,1.0,3.0,1.0,-0.124,,,,,,,,,True
author::UCNiMNUJvaRJb0_QLClqwVnA,autor,0,@Santiago.Nolasco,UCNiMNUJvaRJb0_QLClqwVnA,1,1.0,1.0,2.0,0.0,0.914,,,,,,,,,True
author::UCNkcuy42zEwddwEcOd_HpnA,autor,0,@vanigomez492,UCNkcuy42zEwddwEcOd_HpnA,1,1.0,1.0,3.0,0.0,-0.844,,,,,,,,,True
author::UCNpt5CQlTzNjlAKY6CJtClQ,autor,0,@eustaquiogomez9975,UCNpt5CQlTzNjlAKY6CJtClQ,1,1.0,1.0,0.0,0.0,-0.282,,,,,,,,,True
author::UCO0zwwLWGyDgQmWPJ5Qrr1w,autor,0,@elsalvador3605,UCO0zwwLWGyDgQmWPJ5Qrr1w,1,1.0,1.0,3.0,0.0,-0.908,,,,,,,,,True
author::UCOARn3hnfkB7-_Rwa8Hoqcw,autor,0,@nicelol5241,UCOARn3hnfkB7-_Rwa8Hoqcw,1,1.0,1.0,0.0,0.0,-0.98,,,,,,,,,True
author::UCOLGv5Pf6BF2wFcwUzgcvHg,autor,0,@welfrealdana5559,UCOLGv5Pf6BF2wFcwUzgcvHg,2,1.0,1.0,4.0,0.0,-0.862,,,,,,,,,True
author::UCOLHH4ZpMxPYF-Q6e6wvn5A,autor,0,@luisroldan7374,UCOLHH4ZpMxPYF-Q6e6wvn5A,1,1.0,1.0,2.0,1.0,-0.791,,,,,,,,,True
author::UCOS8ViEkccrTZx2w2ccxotA,autor,0,@OscarHernandez-q8y,UCOS8ViEkccrTZx2w2ccxotA,1,1.0,1.0,4.0,0.0,-0.431,,,,,,,,,True
author::UCOY3XpD9qMCRSA8AA8c4CAw,autor,0,@franciscorodas9686,UCOY3XpD9qMCRSA8AA8c4CAw,1,1.0,1.0,1.0,0.0,0.937,,,,,,,,,True
author::UCOcUI5XkTYNMSFhZNMIPpGg,autor,0,@hendersonlopez3864,UCOcUI5XkTYNMSFhZNMIPpGg,1,1.0,1.0,3.0,0.0,-0.973,,,,,,,,,True
author::UCOh6DaZC_x9HASnlRylEMfw,autor,0,@AndresMedina-v1s,UCOh6DaZC_x9HASnlRylEMfw,1,1.0,1.0,0.0,0.0,-0.833,,,,,,,,,True
author::UCPLW0HE3siElqCgXfgWxMqg,autor,0,@elizabethmonterroso7719,UCPLW0HE3siElqCgXfgWxMqg,1,1.0,1.0,0.0,0.0,-0.888,,,,,,,,,True
author::UCPNXmbOBVeC4HS-xemvcPtQ,autor,0,@BelkisRodriguezRamirez,UCPNXmbOBVeC4HS-xemvcPtQ,1,1.0,1.0,2.0,3.0,-0.831,,,,,,,,,True
author::UCPZueDLrCS4BmTBRMA4q0fA,autor,0,@kevinochoa3695,UCPZueDLrCS4BmTBRMA4q0fA,1,1.0,1.0,1.0,1.0,-0.592,,,,,,,,,True
author::UCQIdKuZ-OzuFqy0KjGrgesg,autor,0,@lyacausa,UCQIdKuZ-OzuFqy0KjGrgesg,1,1.0,1.0,1.0,0.0,-0.713,,,,,,,,,True
author::UCQM2tCKRRytVDRxNUfCDqQQ,autor,0,@elioelias7267,UCQM2tCKRRytVDRxNUfCDqQQ,1,1.0,1.0,0.0,0.0,0.524,,,,,,,,,True
author::UCQMMuADgqWUOcJpLwHOzC-g,autor,0,@Ripped-Yoda,UCQMMuADgqWUOcJpLwHOzC-g,1,1.0,1.0,0.0,0.0,-0.927,,,,,,,,,True
author::UCQ_-LPP8JAbfkc-b1Q6NvWw,autor,0,@MegaKristenstewart,UCQ_-LPP8JAbfkc-b1Q6NvWw,2,1.0,1.0,31.0,0.0,-0.956,,,,,,,,,True
