node_id,tipo_nodo,etiqueta,comunidad,componente,grado,fuerza,grado_bipartito,intermediacion,cercania,pagerank,vector_propio,channel_name,category,view_count,comentarios_recibidos,sent_medio
video::X_FAIef8qlE,video,Cruzando la ciudad a puro Transmetro,15,8,1,1,0.003,0.0,0.0029,0.00285,0.0,Quorum,News & Politics,1140,1.0,-0.888206748990342
video::zweosulrwA8,video,Edén por Salud: empleo inclusivo para personas con discapac…,16,9,1,1,0.003,0.0,0.0029,0.00285,0.0,Quorum,Nonprofits & Activism,52,1.0,0.5236745104193687
video::UhL9y3KUl8E,video,SHAI WA: la vecina queer de Casa Presidencial,17,10,1,1,0.003,0.0,0.0029,0.00285,0.0,Quorum,News & Politics,1755,1.0,0.9715507568325847
video::s0eco-BofOs,video,¿Quiénes pagan más en Centroamérica?,14,7,1,1,0.003,0.0,0.0029,0.00285,0.0,Quorum,News & Politics,220,1.0,0.7178555652499199
author::UC_NRVt2UP88ZNTwzrZ66JSg,autor,@aditalissethevasquezrojas8039,17,10,1,1,0.0526,0.0,0.0029,0.00285,0.0,,,,,0.972
author::UCdFlugHJJa4l3YqWuNRmvXw,autor,@MarcosCarillo-b1r,10,1,2,2,0.1053,0.03186,0.1761,0.0027,0.00066,,,,,-0.828
author::UCAxvOOHQk7dYPOajzFEVtbA,autor,@ruddydepaz322,8,1,1,2,0.0526,0.0,0.1023,0.00255,0.0,,,,,-0.116
author::UCsUCN0Yq_UyTvKjOJLmNrnQ,autor,@moisesvaldez4043,9,1,2,2,0.1053,0.03186,0.2249,0.00248,0.04444,,,,,-0.846
author::UCbrtvygfRT6QXqWDNrOf-cA,autor,@Alejandro00710,3,1,2,2,0.1053,0.0323,0.1717,0.00245,0.00019,,,,,-0.98
author::UCVC2QugcI1G4RvlCiUqd1aQ,autor,@rwdm76,3,1,1,2,0.0526,0.0,0.1679,0.00231,0.00038,,,,,0.115
author::UCjZgFEowMBrsjodqfovzdKw,autor,@franciscoflores3120,8,1,2,2,0.1053,0.0579,0.1346,0.00229,0.0,,,,,0.099
author::UCLFdHr9BEbXHkoJopbEPLZw,autor,@kanterra4584,1,1,1,2,0.0526,0.0,0.2219,0.00219,0.08853,,,,,-0.795
author::UCz3gu01bmjNv0DpRq-K3XYg,autor,@eusebiovasquez4385,1,1,1,2,0.0526,0.0,0.2219,0.00219,0.08853,,,,,-0.768
author::UCwW2OFy95P7ZBkOPxWkpvYg,autor,@TeresaLucero-b5o,1,1,1,2,0.0526,0.0,0.2219,0.00219,0.08853,,,,,-0.442
author::UCut6b9S98nv84cVX89PmKzA,autor,@yeniferaguirre4498,1,1,1,2,0.0526,0.0,0.2219,0.00219,0.08853,,,,,-0.93
author::UCHhHUjaMAZ8SiXdCUCj9DkQ,autor,@fredymendez1786,1,1,1,2,0.0526,0.0,0.2219,0.00219,0.08853,,,,,-0.775
author::UCJxJC56BSAX-ArD0NAb9qnQ,autor,@alfonsowilian9157,13,6,1,1,0.0526,0.0,0.0038,0.00219,0.0,,,,,-0.084
author::UCL13XhnRzbGokEkCkEOb0-g,autor,@raquelprado3643,1,1,1,2,0.0526,0.0,0.2219,0.00219,0.08853,,,,,-0.907
