termino,frecuencia
pueblo,56
guatemala,52
diputado,50
pagar,40
dinero,34
presidente,32
corrupto,30
trabajo,28
seguir,23
excelente,22
trabajar,21
empresa,20
sueldo,20
proyecto,19
almuerzo,17
dejar,16
persona,16
pasar,16
señor,16
arévalo,15
llegar,14
gobierno,14
corrupción,14
salir,13
ganar,13
