entidad,top_n,comentarios,proporción
video,1,161,0.39655172413793105
video,3,256,0.6305418719211823
video,5,306,0.7536945812807881
video,10,380,0.9359605911330049
canal,1,256,0.6305418719211823
canal,3,351,0.8645320197044335
canal,5,390,0.9605911330049262
canal,10,406,1.0
