dimension,source_group,comentarios,autores,sent_medio,pct_neg,pct_neu,pct_pos,likes,comparable
Estrategia de muestreo,channel,231,192,-0.543,71.9,16.0,12.1,398,True
Estrategia de muestreo,topic,175,144,-0.162,47.4,24.0,28.6,1927,True
