source,target,weight,relation
author::UCCBYcToQ2dwkd6TJh0FSyDg,video::j43HgwYFKfk,1,comento_en
author::UCCUmP4PlbwgikVFpYwbtRTg,video::yLZS3JiEBg8,1,comento_en
author::UCCaYwkkbQGcvFoUmothVdQQ,video::n8iP75gIpmw,1,comento_en
author::UCDIMztpVm7G27qBuiWuT6oQ,video::n8iP75gIpmw,1,comento_en
author::UCDPWkUX3sNNaCx-m1dV4glA,video::n8iP75gIpmw,1,comento_en
author::UCDQaQv0hr2SS_PO-CMEwVHg,video::n8iP75gIpmw,1,comento_en
author::UCDUffaruH6dyUnUGwsTKpgg,video::n8iP75gIpmw,1,comento_en
author::UCDftMWXQoJ6nONfY7GVOVjg,video::n8iP75gIpmw,1,comento_en
author::UCDlr1VadSucIZgZ171pRBjQ,video::n8iP75gIpmw,1,comento_en
author::UCDrmf9y9nLgFY5wnA2hTuGA,video::j43HgwYFKfk,1,comento_en
author::UCEHXl4VvvVpq-_4xC5tsbhg,video::6W4u8sGEnGM,1,comento_en
author::UCEgEQmRbtL5fwr9_DqAC--g,video::n8iP75gIpmw,1,comento_en
author::UCErZPJpHmLCsXs8ZWkAUupQ,video::n8iP75gIpmw,1,comento_en
author::UCFFrEmn6lPYiWyElpfzTy5Q,video::is3Mk5oC19g,1,comento_en
author::UCFOxCyF926Y9eHhMeVoWLzw,video::lj983NWyAQY,1,comento_en
author::UCFUuDARXdmmIrLppEqf-rFg,video::n8iP75gIpmw,1,comento_en
author::UCFhxtoeARHPnXXPcDrOU3Xg,video::n8iP75gIpmw,1,comento_en
author::UCFjudnPLoaSL1BaRuLahyHg,video::n8iP75gIpmw,3,comento_en
author::UCFoIAE8k82D6AV-8gjjKaNg,video::n8iP75gIpmw,1,comento_en
author::UCFxE8GbokBrBsPEKM1xrOjQ,video::n8iP75gIpmw,1,comento_en
author::UCFybmWapGvBKcQod7cPPH9w,video::6W4u8sGEnGM,1,comento_en
author::UCGGHbtfbbe0o68etrOf0qxw,video::j43HgwYFKfk,1,comento_en
author::UCGX_UbAQOXGZknv5iqklwTA,video::PjmxCj-a9Hg,1,comento_en
author::UCGZMgmM92E3njyXNe9-kjAQ,video::OkXlHx0hx-8,1,comento_en
author::UCGj2v6Gl5bN8NSrzJMXS-CA,video::WIUZtitfLRw,1,comento_en
author::UCGm3gRBEHGRJYmtCryZLtDw,video::b_Hkrkl3adA,1,comento_en
author::UCGqKxQS-z3NZzZF-2w338AA,video::lj983NWyAQY,1,comento_en
author::UCGzXwyCzMzGmjmCbH3Hg01Q,video::n8iP75gIpmw,1,comento_en
author::UCHGd14aYuZZShLD73dkk6mg,video::JkpVO1hx2f8,1,comento_en
author::UCHMQ_lDhibZ-XZ_3fo6oxwg,video::lj983NWyAQY,1,comento_en
author::UCHTGCgY2l-DQJIvlA_cpa_Q,video::PjmxCj-a9Hg,1,comento_en
author::UCHTGCgY2l-DQJIvlA_cpa_Q,video::n8iP75gIpmw,2,comento_en
author::UCHbwIx9pmQuf7i-4_xO2EpA,video::j43HgwYFKfk,1,comento_en
author::UCHhHUjaMAZ8SiXdCUCj9DkQ,video::n8iP75gIpmw,2,comento_en
