source,target,weight,relation
author::UCtNyHmRZtvGF2hSvI2dUBWw,video::PjmxCj-a9Hg,2,comento_en
author::UCtUR3_CAiE7fCoZHM6cMfyQ,video::n8iP75gIpmw,1,comento_en
author::UCtiHFjFu7d5v2XxHnKFUYig,video::OkXlHx0hx-8,1,comento_en
author::UCtowGNY2lnlg6O2CkwDgkLg,video::TT4qJ5FXHYE,1,comento_en
author::UCtsxPYw8VUsH_FfnKg-0lmw,video::6W4u8sGEnGM,1,comento_en
author::UCu8_3-Wg-YzNyvHYQDEscfw,video::j43HgwYFKfk,1,comento_en
author::UCuP4UK33HKtJE_S39ksmaTw,video::PjmxCj-a9Hg,1,comento_en
author::UCuXmOjxC-htcprLgeVXz6Tg,video::j43HgwYFKfk,1,comento_en
author::UCueV9cTyTDwgQSec1x2dYgA,video::n8iP75gIpmw,1,comento_en
author::UCujPF2nBgsTD62nWE3lcpIg,video::n8iP75gIpmw,1,comento_en
author::UCusjriFsDHEc2AOjqk-p5ig,video::PjmxCj-a9Hg,1,comento_en
author::UCut6b9S98nv84cVX89PmKzA,video::n8iP75gIpmw,2,comento_en
author::UCvApqeCbLod-wejtT4CcVuA,video::n8iP75gIpmw,1,comento_en
author::UCvDwJBBY1mHK70aTEYl6rsA,video::6W4u8sGEnGM,1,comento_en
author::UCvcu1kR8xMYy_I1Ty-2mV2Q,video::WIUZtitfLRw,1,comento_en
author::UCvcu1kR8xMYy_I1Ty-2mV2Q,video::ndAZjHqzzT8,2,comento_en
author::UCvcu1kR8xMYy_I1Ty-2mV2Q,video::yLZS3JiEBg8,1,comento_en
author::UCvl1tzQeBeGy6efPTRJXSCw,video::06mFNPU0aB8,1,comento_en
author::UCwCfs-2zbD5k0lG-UVg_JBw,video::06mFNPU0aB8,1,comento_en
author::UCwEe1RKlEv1UpNWmWYfSh4w,video::yLZS3JiEBg8,1,comento_en
author::UCwO2SXr0ggzwg6QWWrr01nQ,video::n8iP75gIpmw,1,comento_en
author::UCwUAv3_LpWVtTIi7lkmTL7A,video::lj983NWyAQY,1,comento_en
author::UCwW2OFy95P7ZBkOPxWkpvYg,video::n8iP75gIpmw,2,comento_en
author::UCwgCc9Jd_gG-uLE_SY-FfPg,video::j43HgwYFKfk,1,comento_en
author::UCwha8rxULYMVtNwZWeSkE1A,video::n8iP75gIpmw,1,comento_en
author::UCwjUvRseNtJoItylIyIez7Q,video::j43HgwYFKfk,1,comento_en
author::UCwxoKK59nGCeBqB2sXfDBIw,video::6W4u8sGEnGM,1,comento_en
author::UCxKR3RA8T-kxMgq_2WWhRcQ,video::lj983NWyAQY,1,comento_en
author::UCxcoDvP-g2_KTZDmVZtvb3w,video::yLZS3JiEBg8,1,comento_en
author::UCxff05WuyvwELNITi7bj7UA,video::n8iP75gIpmw,1,comento_en
author::UCxhtlxPV8AYWaNNyU6S9H8Q,video::OkXlHx0hx-8,1,comento_en
author::UCyJhqmMbsvjpoarBBStA2kg,video::6W4u8sGEnGM,6,comento_en
author::UCySYJU5kUh7X8gVt9la2ISA,video::n8iP75gIpmw,1,comento_en
author::UCyW68EGZey4ao_Vf2cR5Ztg,video::WIUZtitfLRw,1,comento_en
author::UCylqlpsh8ENNM1LqgQ1KbxA,video::j43HgwYFKfk,2,comento_en
author::UCylqlpsh8ENNM1LqgQ1KbxA,video::n8iP75gIpmw,1,comento_en
author::UCyor0Mmm0ivLX2jIdyGp84Q,video::3Nfp9h5avBI,1,comento_en
author::UCyzf29IYjNw67gGIfsjgtxA,video::lj983NWyAQY,1,comento_en
author::UCz3gu01bmjNv0DpRq-K3XYg,video::n8iP75gIpmw,2,comento_en
author::UCzSfZlOVxBSs5ObD25ywxDQ,video::n8iP75gIpmw,1,comento_en
author::UCzZ6dDCEsLMXbc5pCFXIprw,video::6W4u8sGEnGM,1,comento_en
author::UCzZ6dDCEsLMXbc5pCFXIprw,video::PjmxCj-a9Hg,1,comento_en
author::UCzoL2l5H5eVlorWGH8AZfAg,video::n8iP75gIpmw,1,comento_en
