origen,destino,peso,likes,respuestas,sent_medio,tipo_arista,author_channel_id,author_handle,video_id,title,channel_name
author::UC3NMzdMYryaw82kPTnsaljg,video::n8iP75gIpmw,1,0,0,-0.881,comento_en,UC3NMzdMYryaw82kPTnsaljg,@marisosa7832,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UC3UVO7pTbeYvZ3ILEyRDskQ,video::j43HgwYFKfk,1,1,0,-0.538,comento_en,UC3UVO7pTbeYvZ3ILEyRDskQ,@rosaelenaargueta79,j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum
author::UC3XTwHxygNCgjndsg-UiCQA,video::n8iP75gIpmw,3,2,0,-0.954,comento_en,UC3XTwHxygNCgjndsg-UiCQA,@marioajset4283,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UC3YpzAr7pcdKC7BVFEpYzog,video::6W4u8sGEnGM,1,4,1,-0.91,comento_en,UC3YpzAr7pcdKC7BVFEpYzog,@carmenfigueroa1232,6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala
author::UC3iIU62XKUOWuqL8BqBzj9A,video::b_Hkrkl3adA,1,0,0,-0.893,comento_en,UC3iIU62XKUOWuqL8BqBzj9A,@antonioduarte2288,b_Hkrkl3adA,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial
author::UC3qn1yJA5PeW9rkGPatQxiw,video::n8iP75gIpmw,1,7,0,-0.326,comento_en,UC3qn1yJA5PeW9rkGPatQxiw,@VICTOREST19,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UC4Avya4kmR4Q0FrfFdBozSQ,video::j43HgwYFKfk,1,11,0,-0.224,comento_en,UC4Avya4kmR4Q0FrfFdBozSQ,@davidlima1348,j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum
author::UC4cXueR2bKGFJV0Fk76gwmA,video::n8iP75gIpmw,1,0,0,-0.967,comento_en,UC4cXueR2bKGFJV0Fk76gwmA,@aluxdel4792,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UC4kg7zuTfqQKLd2bkZrSYBA,video::is3Mk5oC19g,1,0,0,-0.774,comento_en,UC4kg7zuTfqQKLd2bkZrSYBA,@zoilagarcia9019,is3Mk5oC19g,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,TN23 Guatemala
author::UC4wq3DcbfaG6dtCqn8Oyu3w,video::n8iP75gIpmw,1,1,0,-0.807,comento_en,UC4wq3DcbfaG6dtCqn8Oyu3w,@hugoasencio7764,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UC5H8ASmMC9WrURmzeB4ySog,video::n8iP75gIpmw,5,6,0,-0.025,comento_en,UC5H8ASmMC9WrURmzeB4ySog,@ManuelEdran,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UC5PrBbmUlQolwqmiru7yZhw,video::b_Hkrkl3adA,1,0,1,-0.773,comento_en,UC5PrBbmUlQolwqmiru7yZhw,@lazarochavez8269,b_Hkrkl3adA,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial
author::UC5PyGvSfFM--OVKmQ3COu6g,video::lj983NWyAQY,1,3,0,0.872,comento_en,UC5PyGvSfFM--OVKmQ3COu6g,@FreddyGmez,lj983NWyAQY,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala
author::UC5bG9nc_JV3FsNP2KseQiYw,video::n8iP75gIpmw,1,2,0,-0.964,comento_en,UC5bG9nc_JV3FsNP2KseQiYw,@giovannirodas4836,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UC5fvhAfm89JH8eDFdvc0xYw,video::lj983NWyAQY,1,0,0,0.471,comento_en,UC5fvhAfm89JH8eDFdvc0xYw,@isaidiaz2388,lj983NWyAQY,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala
author::UC5hvEnRUzI4Kfvwnyi4QxqQ,video::j43HgwYFKfk,1,2,0,0.727,comento_en,UC5hvEnRUzI4Kfvwnyi4QxqQ,@leonelsantizo5281,j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum
author::UC5wuDq3U3vRAhOQI3D7gNdw,video::ndAZjHqzzT8,1,2,1,0.817,comento_en,UC5wuDq3U3vRAhOQI3D7gNdw,@allanreneramirezgonzalez534,ndAZjHqzzT8,Internet: escoger el menos malo,Quorum
author::UC63tFvbQ_hJhGDi2nbjssjw,video::6W4u8sGEnGM,1,2,0,-0.902,comento_en,UC63tFvbQ_hJhGDi2nbjssjw,@AbigailRodas-w2r,6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala
author::UC650pRT-OYzny3GwOH8Cgfw,video::n8iP75gIpmw,1,1,0,-0.984,comento_en,UC650pRT-OYzny3GwOH8Cgfw,@edvinparedesherrera7632,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UC6PvO1_k5lHKGdAPo5_C6TA,video::n8iP75gIpmw,1,1,0,-0.936,comento_en,UC6PvO1_k5lHKGdAPo5_C6TA,@johnmejia992,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UC6Uj1FT5JjDSF8vudvDxPAA,video::j43HgwYFKfk,1,1,0,0.638,comento_en,UC6Uj1FT5JjDSF8vudvDxPAA,@alfredoortega9264,j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum
author::UC6YSZqL0vEcI-niPKIMUGfw,video::n8iP75gIpmw,1,2,0,-0.982,comento_en,UC6YSZqL0vEcI-niPKIMUGfw,@maxwellsales885,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UC6xI_MOaxajIWpoP8BH6E_Q,video::s0eco-BofOs,1,0,0,0.718,comento_en,UC6xI_MOaxajIWpoP8BH6E_Q,@jahirdiaz5862,s0eco-BofOs,¿Quiénes pagan más en Centroamérica?,Quorum
author::UC72gBAtyb_VXQlYDcFrh6oQ,video::n8iP75gIpmw,3,19,0,-0.751,comento_en,UC72gBAtyb_VXQlYDcFrh6oQ,@osmanmorales3012,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UC7IMsCxfZyWN7YQo8-JYa6Q,video::PjmxCj-a9Hg,2,1,0,-0.004,comento_en,UC7IMsCxfZyWN7YQo8-JYa6Q,@Burgos68,PjmxCj-a9Hg,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala
author::UC7VUuJr9cGh845CmTvf7TlQ,video::n8iP75gIpmw,1,1,0,-0.96,comento_en,UC7VUuJr9cGh845CmTvf7TlQ,@LuisCastillo-oz4df,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UC7dadZG7kkGYnsNu6td0FbA,video::j43HgwYFKfk,1,18,0,-0.732,comento_en,UC7dadZG7kkGYnsNu6td0FbA,@lesolorzano,j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum
author::UC816IGbFCZinfYS1LRDaaHg,video::j43HgwYFKfk,1,1,0,-0.015,comento_en,UC816IGbFCZinfYS1LRDaaHg,@ingenieroar,j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum
author::UC8F2V63KZ4ZEay6opX2hAQw,video::n8iP75gIpmw,1,0,0,-0.972,comento_en,UC8F2V63KZ4ZEay6opX2hAQw,@carmenr6311,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UC8G5cJONY8L9voMyBW8Eoug,video::n8iP75gIpmw,1,0,0,-0.941,comento_en,UC8G5cJONY8L9voMyBW8Eoug,@luisparedes-pw6qt,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UC8r11yOugM2NuRfitQOxLLg,video::n8iP75gIpmw,1,1,0,-0.976,comento_en,UC8r11yOugM2NuRfitQOxLLg,@cesaraugustomoralesmonroy6907,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UC8xlJWNHz1V_W6q3fbuQH8g,video::PjmxCj-a9Hg,1,1,0,0.864,comento_en,UC8xlJWNHz1V_W6q3fbuQH8g,@NormaLópez-v7e,PjmxCj-a9Hg,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala
