author_channel_id,author_handle,comentarios,videos,canales,likes,respuestas
UC3YpzAr7pcdKC7BVFEpYzog,@carmenfigueroa1232,1,1,1,4,1
UC3iIU62XKUOWuqL8BqBzj9A,@antonioduarte2288,1,1,1,0,0
UC3qn1yJA5PeW9rkGPatQxiw,@VICTOREST19,1,1,1,7,0
UC4Avya4kmR4Q0FrfFdBozSQ,@davidlima1348,1,1,1,11,0
UC4cXueR2bKGFJV0Fk76gwmA,@aluxdel4792,1,1,1,0,0
UC4kg7zuTfqQKLd2bkZrSYBA,@zoilagarcia9019,1,1,1,0,0
UC4wq3DcbfaG6dtCqn8Oyu3w,@hugoasencio7764,1,1,1,1,0
UC5PrBbmUlQolwqmiru7yZhw,@lazarochavez8269,1,1,1,0,1
UC5PyGvSfFM--OVKmQ3COu6g,@FreddyGmez,1,1,1,3,0
UC5bG9nc_JV3FsNP2KseQiYw,@giovannirodas4836,1,1,1,2,0
UC5fvhAfm89JH8eDFdvc0xYw,@isaidiaz2388,1,1,1,0,0
UC5hvEnRUzI4Kfvwnyi4QxqQ,@leonelsantizo5281,1,1,1,2,0
UC5wuDq3U3vRAhOQI3D7gNdw,@allanreneramirezgonzalez534,1,1,1,2,1
UC63tFvbQ_hJhGDi2nbjssjw,@AbigailRodas-w2r,1,1,1,2,0
UC650pRT-OYzny3GwOH8Cgfw,@edvinparedesherrera7632,1,1,1,1,0
UC6PvO1_k5lHKGdAPo5_C6TA,@johnmejia992,1,1,1,1,0
UC6Uj1FT5JjDSF8vudvDxPAA,@alfredoortega9264,1,1,1,1,0
UC6YSZqL0vEcI-niPKIMUGfw,@maxwellsales885,1,1,1,2,0
UC6xI_MOaxajIWpoP8BH6E_Q,@jahirdiaz5862,1,1,1,0,0
UC7VUuJr9cGh845CmTvf7TlQ,@LuisCastillo-oz4df,1,1,1,1,0
UC7dadZG7kkGYnsNu6td0FbA,@lesolorzano,1,1,1,18,0
UC816IGbFCZinfYS1LRDaaHg,@ingenieroar,1,1,1,1,0
UC8F2V63KZ4ZEay6opX2hAQw,@carmenr6311,1,1,1,0,0
UC8G5cJONY8L9voMyBW8Eoug,@luisparedes-pw6qt,1,1,1,0,0
UC8r11yOugM2NuRfitQOxLLg,@cesaraugustomoralesmonroy6907,1,1,1,1,0
UC8xlJWNHz1V_W6q3fbuQH8g,@NormaLópez-v7e,1,1,1,1,0
UC95PSMouTx2N5CbSq0hIyrQ,@lisss1908,1,1,1,0,0
UC9Wp6vL5oCU37qC3Aj94WZA,@ManuelSanchez-b8q2z,1,1,1,0,0
UC9xr9QvIcDvoZNUX5f-jaZw,@MariaaliciaColonmorales,1,1,1,0,0
UCA93ym2TXs_Ibyxb4Vcn-6Q,@oswaldosolis8728,1,1,1,0,0
UCAKuKvcbfnBD3kF5njNu-IA,@melvinlopez7096,1,1,1,0,0
UCAV7QIjYhbDJaycQycM_0eQ,@mariavail8998,1,1,1,3,0
UCAlzM_N6xBlMYmM8EBzX86Q,@carlossoto3252,1,1,1,3,0
UCAmtbUiIrUIhikru0ZoTFig,@Aura-vf6dm,1,1,1,7,0
UCB5p8a5gklc80jJItP6xTHg,@ernestogamboa8737,1,1,1,6,0
UCBtB5dIyx-C16UN8ClUD2UA,@alexmonzon4257,1,1,1,0,0
UCCBYcToQ2dwkd6TJh0FSyDg,@lidiarodriguez3493,1,1,1,0,0
UCCUmP4PlbwgikVFpYwbtRTg,@alhvi,1,1,1,3,0
UCCaYwkkbQGcvFoUmothVdQQ,@OsvaldoAguirre-l3i,1,1,1,0,0
UCDIMztpVm7G27qBuiWuT6oQ,@lizardomorataya8274,1,1,1,0,0
UCDPWkUX3sNNaCx-m1dV4glA,@hectoroliva949,1,1,1,0,0
UCDQaQv0hr2SS_PO-CMEwVHg,@federicosaquimux1933,1,1,1,1,0
UCDUffaruH6dyUnUGwsTKpgg,@luisletona2842,1,1,1,2,0
UCDftMWXQoJ6nONfY7GVOVjg,@luisgpacheco5858,1,1,1,0,0
UCDlr1VadSucIZgZ171pRBjQ,@cuabatzjj5924,1,1,1,0,0
UCDrmf9y9nLgFY5wnA2hTuGA,@laboratorio5528,1,1,1,1,0
UCEHXl4VvvVpq-_4xC5tsbhg,@anibalg47,1,1,1,7,0
UCEgEQmRbtL5fwr9_DqAC--g,@ArielRodas-g5y,1,1,1,2,0
UCErZPJpHmLCsXs8ZWkAUupQ,@dorisl.garciaroche7763,1,1,1,2,1
UCFFrEmn6lPYiWyElpfzTy5Q,@denilsonlopez4083,1,1,1,0,0
UCFOxCyF926Y9eHhMeVoWLzw,@arielsarc09,1,1,1,3,0
UCFUuDARXdmmIrLppEqf-rFg,@allanmunoz7410,1,1,1,0,0
UCFhxtoeARHPnXXPcDrOU3Xg,@diegoalejandrolopezmendez205,1,1,1,2,0
UCFoIAE8k82D6AV-8gjjKaNg,@eddymunoz9789,1,1,1,1,1
UCFxE8GbokBrBsPEKM1xrOjQ,@JuanDavila-qd7qj,1,1,1,10,0
UCFybmWapGvBKcQod7cPPH9w,@vitalianochavez8382,1,1,1,1,0
UCGGHbtfbbe0o68etrOf0qxw,@karensussetteleonvargas9794,1,1,1,0,0
UCGX_UbAQOXGZknv5iqklwTA,@ronaldgarcia8522,1,1,1,1,0
UCGZMgmM92E3njyXNe9-kjAQ,@pasionpornada,1,1,1,2,1
UCGj2v6Gl5bN8NSrzJMXS-CA,@juliogutierrez492,1,1,1,0,0
UCGm3gRBEHGRJYmtCryZLtDw,@JoséLopez-g6k,1,1,1,0,0
UCGqKxQS-z3NZzZF-2w338AA,@samuelaguilar529,1,1,1,211,3
UCGzXwyCzMzGmjmCbH3Hg01Q,@FidelZacarias-ph7dy,1,1,1,2,0
UCHGd14aYuZZShLD73dkk6mg,@noemiherrera3152,1,1,1,0,0
UCHMQ_lDhibZ-XZ_3fo6oxwg,@crislexrubi4387,1,1,1,16,0
UCHbwIx9pmQuf7i-4_xO2EpA,@caminoseternos752,1,1,1,0,0
UCHu8x4MVkayU6VgwVKd--MQ,@Hernandez-i1o,1,1,1,1,0
UCIUhbSCy3-SGRe5UtqM4fzQ,@jeanmorales1677,1,1,1,1,0
UCIXLDYqR_syskKRJy_x9W9Q,@carlitosramirez4739,1,1,1,0,0
UCIgoiXdIKJyUGmUoH2Lxdzg,@susievidal4134,1,1,1,3,0
UCIp19h9igblA2YKfSLPDAug,@JoseReyes-rn6sh,1,1,1,14,1
UCJp3OrVYcBorC94sKwdch_A,@ULJoshmg2011,1,1,1,0,0
UCJxJC56BSAX-ArD0NAb9qnQ,@alfonsowilian9157,1,1,1,0,0
UCKDR0f2fu2UzWL8mBv5-BHw,@mireyamorales6595,1,1,1,0,0
UCKVzDUqbtdSMBcexaEtMmzQ,@rotorairgroup8409,1,1,1,0,0
UCL1MT278vSaQ83ZDkVWn1gw,@elmorodriguez6978,1,1,1,20,0
UCLXYp1Cvc5DLtq5UQL5D9vw,@jorgecifuentes-m5g,1,1,1,3,1
UCLh1Kde4_vI1sTZBkTNP7RQ,@JoelReynoso-d4r,1,1,1,0,0
UCN2N_wYOw6fMwCeSzdXLPIw,@danielantoniogonzalezflore4901,1,1,1,0,0
UCN6qbfPSzFtjhqUDZ3Cv3CQ,@carlosmedranovelasquez6380,1,1,1,2,0
UCNiMNUJvaRJb0_QLClqwVnA,@Santiago.Nolasco,1,1,1,2,0
UCNkcuy42zEwddwEcOd_HpnA,@vanigomez492,1,1,1,3,0
UCNpt5CQlTzNjlAKY6CJtClQ,@eustaquiogomez9975,1,1,1,0,0
UCO0zwwLWGyDgQmWPJ5Qrr1w,@elsalvador3605,1,1,1,3,0
UCOARn3hnfkB7-_Rwa8Hoqcw,@nicelol5241,1,1,1,0,0
UCOLHH4ZpMxPYF-Q6e6wvn5A,@luisroldan7374,1,1,1,2,1
UCOS8ViEkccrTZx2w2ccxotA,@OscarHernandez-q8y,1,1,1,4,0
UCOY3XpD9qMCRSA8AA8c4CAw,@franciscorodas9686,1,1,1,1,0
UCOcUI5XkTYNMSFhZNMIPpGg,@hendersonlopez3864,1,1,1,3,0
UCOh6DaZC_x9HASnlRylEMfw,@AndresMedina-v1s,1,1,1,0,0
UCPLW0HE3siElqCgXfgWxMqg,@elizabethmonterroso7719,1,1,1,0,0
UCPNXmbOBVeC4HS-xemvcPtQ,@BelkisRodriguezRamirez,1,1,1,2,3
UCPZueDLrCS4BmTBRMA4q0fA,@kevinochoa3695,1,1,1,1,1
UCQIdKuZ-OzuFqy0KjGrgesg,@lyacausa,1,1,1,1,0
UCQM2tCKRRytVDRxNUfCDqQQ,@elioelias7267,1,1,1,0,0
UCQMMuADgqWUOcJpLwHOzC-g,@Ripped-Yoda,1,1,1,0,0
UCQgYjVngJRfPHDLGB5X6ZjA,@oscarnavas9996,1,1,1,0,0
UCQqetiwzzmRNTM5OWuXarGQ,@isaiaslopezvelasquez1539,1,1,1,1,0
UCQqlPPUGqAfWjd-FSh_qn7Q,@estuardoargueta137,1,1,1,0,0
UCQtSFINs1h6GHkpg9o5kMvg,@MacarioMartinezruiz,1,1,1,12,0
UCQyOePccUP-fIJYzchAgZYw,@aguilar4254,1,1,1,0,0
UCRAquv8el-tQ30bN7MlmySQ,@iamjimalesssa,1,1,1,4,0
UCRETAiYdh2dL5ZxB0_N1zDA,@Joseroland21,1,1,1,0,0
UCRcSR3Lvn9DZAmJpVPANfZQ,@WalksandSuch,1,1,1,68,0
UCRelkU8JiZBytTzebJxaa-w,@danyraymundo2942,1,1,1,3,0
UCRfkkatKrNtAARnXMMYBGlA,@BernerSoza-mg3vx,1,1,1,0,0
UCRlCV9zSn7avAWh-9_XFWqQ,@ronyarana8849,1,1,1,1,0
UCRvPToDkkumha7WJAfCDk1A,@ligiaguerra3057,1,1,1,0,0
UCRznz9-N3Qc1w-qNdLSIY2Q,@jimmygomez724,1,1,1,14,0
UCSTAUWVc1_82DHYeqOsqEFA,@TheAlexX_C,1,1,1,191,2
UCSou6a2OuYGSvPjm5psquyA,@FranciscoRivera-sf7ne,1,1,1,0,0
UCTD6q1nyIe3Y7HhqjaMj72w,@JuanChang-r6k,1,1,1,8,0
UCTP3O0rMnc8z8v8jaDQwL0w,@RobertoZelaya-x1v,1,1,1,1,0
UCTTILH6QCIxbTnEWxwRqs1g,@3762Jorge,1,1,1,0,0
UCThW2XNsAaBKme5PUt7n-Zg,@thelmamoran8565,1,1,1,0,0
UCTwSut16JyAg3mX6LVUNGqA,@SuperVictor2005,1,1,1,0,0
